R	V	nV	A	W
9999	-0.598	0.598	5.9806E-05	3.5764E-05
999	-0.597	0.597	0.000597598	0.000356766
399	-0.596	0.596	0.001493734	0.000890266
299	-0.596	0.596	0.001993311	0.001188013
199	-0.595	0.595	0.00298995	0.00177902
99	-0.592	0.592	0.005979798	0.00354004
69	-0.589	0.589	0.008536232	0.005027841
59	-0.588	0.588	0.009966102	0.005860068
49	-0.586	0.586	0.011959184	0.007008082
39	-0.583	0.583	0.014948718	0.008715103
29	-0.577	0.577	0.019896552	0.01148031
19	-0.564	0.564	0.029684211	0.016741895
17	-0.558	0.558	0.032823529	0.018315529
15	-0.551	0.551	0.036733333	0.020240067
13	-0.539	0.539	0.041461538	0.022347769
11	-0.517	0.517	0.047	0.024299
10	-0.498	0.498	0.0498	0.0248004
9	-0.47	0.47	0.052222222	0.024544444
8	-0.431	0.431	0.053875	0.023220125
7	-0.382	0.382	0.054571429	0.020846286
6	-0.332	0.332	0.055333333	0.018370667
5	-0.279	0.279	0.0558	0.0155682
4	-0.226	0.226	0.0565	0.012769
3	-0.174	0.174	0.058	0.010092
2	-0.122	0.122	0.061	0.007442
1	-0.07	0.07	0.07	0.0049
