R	V	nV	A	W
9999	-0.597	0.597	5.9706E-05	3.56445E-05
999	-0.597	0.597	0.000597598	0.000356766
399	-0.596	0.596	0.001493734	0.000890266
299	-0.596	0.596	0.001993311	0.001188013
199	-0.594	0.594	0.002984925	0.001773045
99	-0.591	0.591	0.005969697	0.003528091
69	-0.588	0.588	0.008521739	0.005010783
59	-0.587	0.587	0.009949153	0.005840153
49	-0.585	0.585	0.011938776	0.006984184
39	-0.581	0.581	0.014897436	0.00865541
29	-0.574	0.574	0.019793103	0.011361241
19	-0.558	0.558	0.029368421	0.016387579
17	-0.551	0.551	0.032411765	0.017858882
15	-0.54	0.54	0.036	0.01944
13	-0.523	0.523	0.040230769	0.021040692
11	-0.49	0.49	0.044545455	0.021827273
10	-0.461	0.461	0.0461	0.0212521
9	-0.426	0.426	0.047333333	0.020164
8	-0.384	0.384	0.048	0.018432
7	-0.338	0.338	0.048285714	0.016320571
6	-0.293	0.293	0.048833333	0.014308167
5	-0.246	0.246	0.0492	0.0121032
4	-0.199	0.199	0.04975	0.00990025
3	-0.154	0.154	0.051333333	0.007905333
2	-0.107	0.107	0.0535	0.0057245
1	-0.062	0.062	0.062	0.003844
