R	V	nV	A	W
9999	-0.5775	0.5775	5.77558E-05	3.3354E-05
999	-0.576	0.576	0.000576577	0.000332108
399	-0.573	0.573	0.00143609	0.00082288
299	-0.572	0.572	0.001913043	0.001094261
199	-0.569	0.569	0.002859296	0.00162694
99	-0.559	0.559	0.005646465	0.003156374
69	-0.548	0.548	0.007942029	0.004352232
59	-0.541	0.541	0.009169492	0.004960695
49	-0.528	0.528	0.01077551	0.005689469
39	-0.502	0.502	0.012871795	0.006461641
37	-0.491	0.491	0.01327027	0.006515703
34	-0.472	0.472	0.013882353	0.006552471
29	-0.427	0.427	0.014724138	0.006287207
24	-0.36	0.36	0.015	0.0054
19	-0.291	0.291	0.015315789	0.004456895
17	-0.261	0.261	0.015352941	0.004007118
15	-0.231	0.231	0.0154	0.0035574
13	-0.201	0.201	0.015461538	0.003107769
11	-0.171	0.171	0.015545455	0.002658273
10	-0.155	0.155	0.0155	0.0024025
9	-0.141	0.141	0.015666667	0.002209
8	-0.126	0.126	0.01575	0.0019845
7	-0.111	0.111	0.015857143	0.001760143
6	-0.096	0.096	0.016	0.001536
5	-0.081	0.081	0.0162	0.0013122
4	-0.065	0.065	0.01625	0.00105625
3	-0.05	0.05	0.016666667	0.000833333
2	-0.035	0.035	0.0175	0.0006125
1	-0.02	0.02	0.02	0.0004
