R	V	nV	A	W
9999	-0.601	0.601	6.0106E-05	3.61237E-05
999	-0.6	0.6	0.000600601	0.00036036
399	-0.599	0.599	0.001501253	0.000899251
299	-0.599	0.599	0.002003344	0.001200003
199	-0.598	0.598	0.003005025	0.001797005
99	-0.595	0.595	0.006010101	0.00357601
69	-0.593	0.593	0.008594203	0.005096362
59	-0.592	0.592	0.010033898	0.005940068
49	-0.59	0.59	0.012040816	0.007104082
39	-0.588	0.588	0.015076923	0.008865231
29	-0.584	0.584	0.020137931	0.011760552
19	-0.575	0.575	0.030263158	0.017401316
17	-0.572	0.572	0.033647059	0.019246118
15	-0.568	0.568	0.037866667	0.021508267
13	-0.562	0.562	0.043230769	0.024295692
11	-0.555	0.555	0.050454545	0.028002273
10	-0.55	0.55	0.055	0.03025
9	-0.545	0.545	0.060555556	0.033002778
8	-0.537	0.537	0.067125	0.036046125
7	-0.526	0.526	0.075142857	0.039525143
6	-0.509	0.509	0.084833333	0.043180167
5	-0.481	0.481	0.0962	0.0462722
4	-0.422	0.422	0.1055	0.044521
3	-0.332	0.332	0.110666667	0.036741333
2	-0.233	0.233	0.1165	0.0271445
1	-0.133	0.133	0.133	0.017689
