R	V	nV	A	W
9999	-0.611	0.611	6.11061E-05	3.73358E-05
999	-0.61	0.61	0.000610611	0.000372472
399	-0.609	0.609	0.001526316	0.000929526
299	-0.608	0.608	0.002033445	0.001236334
199	-0.607	0.607	0.003050251	0.001851503
99	-0.603	0.603	0.006090909	0.003672818
69	-0.599	0.599	0.008681159	0.005200014
59	-0.597	0.597	0.010118644	0.006040831
49	-0.594	0.594	0.012122449	0.007200735
39	-0.589	0.589	0.015102564	0.00889541
29	-0.582	0.582	0.020068966	0.011680138
19	-0.564	0.564	0.029684211	0.016741895
17	-0.557	0.557	0.032764706	0.018249941
15	-0.548	0.548	0.036533333	0.020020267
13	-0.535	0.535	0.041153846	0.022017308
11	-0.512	0.512	0.046545455	0.023831273
10	-0.491	0.491	0.0491	0.0241081
9	-0.467	0.467	0.051888889	0.024232111
8	-0.429	0.429	0.053625	0.023005125
7	-0.38	0.38	0.054285714	0.020628571
6	-0.33	0.33	0.055	0.01815
5	-0.278	0.278	0.0556	0.0154568
4	-0.225	0.225	0.05625	0.01265625
3	-0.173	0.173	0.057666667	0.009976333
2	-0.121	0.121	0.0605	0.0073205
1	-0.069	0.069	0.069	0.004761
